title,company,location,salary,tags,posted_date,source,link,scraped_at,confidence_score,credibility_score
"Software Engineer II (3-6 years in Asp.Net,C#) Pune",Worldpay,"Pune Division, Maharashtra, India",Not specified,"fulltime, mid-senior level, Engineering and Information Technology, Financial Services",2026-09-18,linkedin,https://www.linkedin.com/jobs/view/4469122288,2026-09-26T00:23:16Z,82,82
Full Stack Java Developer,Thakral One,"KA, IN",Not specified,fulltime,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=11ada0a9541eccd5,2026-09-26T00:23:16Z,61,61
Senior Java Software Engineer,UST,"Thiruvananthapuram Taluk, India",Not specified,"fulltime, mid-senior level, Information Technology, Engineering, and Consulting, Information Services, Technology, Information and Media, and Engineering Services",2026-09-18,linkedin,https://www.linkedin.com/jobs/view/4469111346,2026-09-26T00:23:16Z,62,62
Front End Engineering & ﻿Enterprise Portal Development,Thakral One,"KA, IN",Not specified,fulltime,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=44207551429148a7,2026-09-26T00:23:16Z,67,67
Software Development Engineer II,Amazon,"Bengaluru, Karnataka, India",Not specified,"fulltime, mid-senior level, Information Technology, Consulting, and Engineering, Software Development",2026-09-18,linkedin,https://www.linkedin.com/jobs/view/4469161083,2026-09-26T00:23:16Z,66,66
Java Developer - AVP,Thakral One,"KA, IN",Not specified,fulltime,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=8137b936b67fe935,2026-09-26T00:23:16Z,59,59
Java Software Engineer,UST,"Thiruvananthapuram Taluk, India",Not specified,"fulltime, associate, Information Technology, Engineering, and Consulting, Information Services, Technology, Information and Media, and Engineering Services",2026-09-18,linkedin,https://www.linkedin.com/jobs/view/4468894675,2026-09-26T00:23:16Z,80,80
Full Stack Senior Java Developer,Thakral One,"KA, IN",Not specified,fulltime,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=b4d380c6adc3ffc5,2026-09-26T00:23:16Z,86,86
Senior Software Engineer,Qualys,"Pune Division, Maharashtra, India",Not specified,"fulltime, mid-senior level, Engineering and Information Technology, Computer and Network Security",2026-09-17,linkedin,https://www.linkedin.com/jobs/view/4467560702,2026-09-26T00:23:16Z,72,72
Full Stack Engineer,Lister Digital,"TN, IN",Not specified,fulltime,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=3979fccfb21cf343,2026-09-26T00:23:16Z,70,70
"Software Dev Engineer II, DSP Tech",Amazon,"Hyderabad, Telangana, India",Not specified,"fulltime, mid-senior level, Information Technology, Consulting, and Engineering, Software Development",2026-09-17,linkedin,https://www.linkedin.com/jobs/view/4468676670,2026-09-26T00:23:16Z,89,89
Murex DevOps Engineer,Lister Digital,"KA, IN",Not specified,fulltime,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=4597756f160c8449,2026-09-26T00:23:16Z,57,57
Software Engineer II,NCR Voyix,"Chennai, Tamil Nadu, India",Not specified,"fulltime, entry level, Engineering and Information Technology, Software Development",2026-09-17,linkedin,https://www.linkedin.com/jobs/view/4468691367,2026-09-26T00:23:16Z,79,79
Senior Software Engineer II - Periscope,McKinsey & Company,"KA, IN",Not specified,Not specified,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=81065e3ea1a8aeb2,2026-09-26T00:23:16Z,61,61
Senior Software Engineer,Mastercard,"Pune Division, Maharashtra, India",Not specified,"fulltime, mid-senior level, Engineering and Information Technology, Financial Services, IT Services and IT Consulting, and Technology, Information and Internet",2026-09-17,linkedin,https://www.linkedin.com/jobs/view/4466288729,2026-09-26T00:23:16Z,85,85
Principal AI & DevOps Engineer,Revvity,"MH, IN",Not specified,Not specified,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=a71d409d80574afe,2026-09-26T00:23:16Z,76,76
